Year,App.,Family,Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2003,II,Elephantidae,Loxodonta africana,US,GB,ZA,4,,ivory pieces,,P,O
2003,II,Elephantidae,Loxodonta africana,US,IL,ZA,1,,tusks,,P,I
2003,II,Elephantidae,Loxodonta africana,US,NA,,6,21,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,BW,3,18,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,BW,2,,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,NA,,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,TZ,,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,XX,,1,ivory carvings,,T,O
2003,II,Elephantidae,Loxodonta africana,US,ZA,ZM,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,ZW,4,24,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,ZW,,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,,6,12,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,,,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,11,ivory carvings,pairs,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,6,,ivory carvings,,P,I
2003,II,Elephantidae,Loxodonta africana,US,ZW,,1,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,68,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,2,tusks,kg,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,16,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,2,,tusks,,P,I
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,175,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,XX,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,ZA,BW,,2,,ivory carvings,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,BW,,30,63,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,GB,XX,2,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,NA,,6,6,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,NA,,1,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZA,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,MZ,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,17,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,,7,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,42,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,2,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,,31,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,ZM,ZW,,25.8,,tusks,kg,H,
2003,II,Elephantidae,Loxodonta africana,ZW,US,ZW,,2,tusks,,L,I
